predicted_species,temperature,B_mono
Colp,15,0.05882468494010536
Colp,17,0.06856632556786965
Colp,19,0.0711627258831192
Colp,21,0.045174034439396354
Colp,23,0.033135769150198745
Colp,25,0.020532007930642148
Dexio,15,0.029635295754490972
Dexio,17,0.04735295314068662
Dexio,19,0.04981993337907341
Dexio,21,0.0350161066584294
Dexio,23,0.017876207029032306
Dexio,25,0.026048638770552655
Loxo,15,0.15673341159226672
Loxo,17,0.183585898535723
Loxo,19,0.2036811291019837
Loxo,21,0.14585982449856777
Loxo,23,0.09883881958507998
Loxo,25,0.14204445666114338
Para,15,0.07734769762951972
Para,17,0.08076247736374699
Para,19,0.0839964978420692
Para,21,0.052543138473227675
Para,23,0.03987367490177517
Para,25,0.054311124257108774
Spiro,15,0.08497804049859363
Spiro,17,0.08948623126132281
Spiro,19,0.1107678821105809
Spiro,21,0.07800182880309335
Spiro,23,0.0780005064435623
Spiro,25,0.10131613023423162
Tetra,15,0.062345306788956285
Tetra,17,0.05509015761606938
Tetra,19,0.05581956000563062
Tetra,21,0.018181926850477613
Tetra,23,0.020661519683353273
Tetra,25,0.0060943613827425394
